,axon_output,dendrite_output
2552701,46.0,0.0
2557644,151.0,0.0
2568465,356.0,0.0
2568522,246.0,3.0
2571761,280.0,0.0
2582391,275.0,0.0
2584838,352.0,0.0
2597151,253.0,0.0
2608843,411.0,0.0
2610744,137.0,0.0
2611805,314.0,0.0
2612527,563.0,0.0
2619565,345.0,0.0
2628785,203.0,120.0
2648254,176.0,0.0
2650887,226.0,0.0
2652641,79.0,0.0
2655798,75.0,0.0
2659386,7.0,0.0
2659504,177.0,0.0
2663649,0.0,23.0
2667061,135.0,0.0
2667980,60.0,0.0
2669331,41.0,5.0
2669844,122.0,0.0
2670619,100.0,35.0
2772093,201.0,6.0
2775707,37.0,0.0
2775943,40.0,0.0
2776773,182.0,2.0
2784471,197.0,93.0
2797480,101.0,50.0
2816457,407.0,4.0
2842451,135.0,0.0
2846555,247.0,0.0
2852273,17.0,0.0
2854715,166.0,0.0
2878185,68.0,0.0
2881070,326.0,15.0
2885630,209.0,0.0
2910892,138.0,0.0
2911847,206.0,0.0
2914206,198.0,67.0
2920061,72.0,43.0
2920554,76.0,38.0
2921933,183.0,80.0
2932028,306.0,0.0
2935173,171.0,0.0
2935198,137.0,0.0
2963280,282.0,4.0
2964760,83.0,0.0
2966602,337.0,0.0
2979486,175.0,0.0
2979675,177.0,8.0
2988292,322.0,0.0
3002410,159.0,0.0
3009700,207.0,10.0
3010486,224.0,3.0
3021609,96.0,83.0
3027876,352.0,0.0
3032520,697.0,0.0
3036249,123.0,0.0
3043970,233.0,0.0
3044500,403.0,141.0
3046503,0.0,2.0
3048606,187.0,0.0
3050645,194.0,0.0
3054101,279.0,0.0
3058132,144.0,2.0
3060480,265.0,64.0
3061422,207.0,47.0
3071301,431.0,0.0
3093284,318.0,0.0
3122533,38.0,7.0
3123905,118.0,0.0
3149791,365.0,17.0
3157405,425.0,16.0
3158085,244.0,0.0
3158123,317.0,0.0
3158543,312.0,0.0
3163105,155.0,5.0
3166745,148.0,0.0
3166836,102.0,0.0
3167039,142.0,0.0
3180681,129.0,3.0
3182103,251.0,11.0
3192952,98.0,0.0
3199456,321.0,0.0
3220616,250.0,45.0
3232277,48.0,16.0
3232808,97.0,7.0
3234817,560.0,10.0
3235409,220.0,113.0
3251140,116.0,12.0
3267019,92.0,0.0
3272218,246.0,55.0
3276003,245.0,0.0
3281684,2.0,0.0
3299214,260.0,3.0
3347708,452.0,29.0
3347834,131.0,15.0
3410499,424.0,0.0
3410506,323.0,0.0
3414508,277.0,2.0
3420915,244.0,123.0
3436420,368.0,0.0
3450442,450.0,0.0
3450751,393.0,97.0
3464773,409.0,0.0
3465659,431.0,0.0
3486381,515.0,108.0
3486867,233.0,0.0
3486950,342.0,57.0
3487306,236.0,0.0
3497901,149.0,35.0
3498479,293.0,6.0
3511996,319.0,0.0
3522293,80.0,6.0
3538129,533.0,0.0
3539170,164.0,5.0
3543931,308.0,0.0
3547397,237.0,0.0
3556191,109.0,0.0
3561724,17.0,0.0
3562954,206.0,0.0
3564452,181.0,32.0
3571478,103.0,38.0
3586984,265.0,0.0
3587612,163.0,33.0
3592997,308.0,0.0
3595837,203.0,42.0
3598000,196.0,35.0
3608397,159.0,0.0
3609202,198.0,0.0
3620633,858.0,0.0
3622234,247.0,125.0
3639968,211.0,0.0
3650006,118.0,9.0
3650600,178.0,0.0
3652587,206.0,0.0
3664102,460.0,3.0
3690921,193.0,1.0
3694515,391.0,0.0
3707204,129.0,6.0
3708875,278.0,0.0
3709977,219.0,9.0
3712893,659.0,2.0
3716797,294.0,0.0
3726990,97.0,0.0
3727004,10.0,0.0
3727026,16.0,4.0
3729496,241.0,4.0
3729504,82.0,0.0
3732322,270.0,0.0
3736500,299.0,61.0
3756659,215.0,0.0
3762317,242.0,0.0
3762787,13.0,0.0
3764792,285.0,0.0
3765728,154.0,3.0
3765735,256.0,0.0
3768025,317.0,0.0
3771794,247.0,0.0
3774568,244.0,0.0
3790004,368.0,0.0
3793681,132.0,0.0
3793760,162.0,0.0
3794023,241.0,0.0
3795424,163.0,0.0
3795498,171.0,0.0
3797420,225.0,24.0
3805641,213.0,66.0
3806573,271.0,18.0
3806652,373.0,22.0
3813487,243.0,0.0
3813723,242.0,0.0
3814175,257.0,0.0
3814635,281.0,0.0
3814651,119.0,0.0
3814701,291.0,0.0
3814853,343.0,2.0
3815483,55.0,6.0
3819157,185.0,34.0
3819171,91.0,23.0
3819859,133.0,0.0
3820148,74.0,22.0
3822523,334.0,0.0
3827211,468.0,0.0
3840345,432.0,0.0
3844799,329.0,0.0
3844961,202.0,2.0
3848843,28.0,32.0
3862443,376.0,86.0
3865952,326.0,0.0
3869488,302.0,3.0
3872653,251.0,0.0
3882998,104.0,1.0
3885215,483.0,0.0
3886356,452.0,2.0
3890028,363.0,56.0
3893195,343.0,0.0
3896629,408.0,0.0
3913613,259.0,0.0
3913620,281.0,5.0
3913629,222.0,99.0
3915835,164.0,0.0
3925724,28.0,0.0
3926438,8.0,0.0
3926669,15.0,0.0
3926904,33.0,0.0
3928522,16.0,0.0
3928574,25.0,0.0
3928652,35.0,0.0
3930411,207.0,2.0
3931398,137.0,0.0
3932136,271.0,7.0
3944330,96.0,2.0
3944626,221.0,6.0
3945136,117.0,0.0
3945225,95.0,1.0
3945232,221.0,0.0
3945246,282.0,2.0
3945394,100.0,3.0
3945454,211.0,6.0
3945756,328.0,41.0
3946166,617.0,0.0
3946364,169.0,0.0
3946432,160.0,2.0
3946569,127.0,0.0
3954014,364.0,0.0
3958234,379.0,0.0
3963891,389.0,0.0
3966683,205.0,0.0
3979181,448.0,0.0
3980315,323.0,0.0
3985829,146.0,0.0
3991518,353.0,35.0
4017089,15.0,0.0
4017464,232.0,0.0
4022539,352.0,51.0
4023881,150.0,0.0
4030526,176.0,0.0
4044654,118.0,0.0
4059758,233.0,0.0
4061049,87.0,0.0
4067286,409.0,12.0
4073353,436.0,0.0
4076389,304.0,0.0
4096703,177.0,0.0
4097554,126.0,0.0
4099900,274.0,2.0
4101295,211.0,3.0
4101621,243.0,2.0
4102413,328.0,10.0
4103336,224.0,0.0
4108016,193.0,0.0
4108720,147.0,0.0
4110483,167.0,0.0
4114133,210.0,0.0
4116174,210.0,211.0
4117305,364.0,0.0
4119387,524.0,4.0
4127096,136.0,0.0
4127707,51.0,5.0
4127911,58.0,0.0
4127926,191.0,0.0
4127938,136.0,2.0
4127944,117.0,0.0
4128002,261.0,6.0
4130960,366.0,68.0
4134539,406.0,0.0
4142619,175.0,0.0
4144377,276.0,5.0
4152020,86.0,3.0
4152272,204.0,2.0
4154421,196.0,0.0
4173633,120.0,0.0
4180774,280.0,2.0
4185530,143.0,5.0
4188290,107.0,41.0
4188325,216.0,0.0
4190567,224.0,0.0
4195012,322.0,61.0
4199033,417.0,3.0
4201020,297.0,0.0
4201555,193.0,0.0
4206755,225.0,1.0
4214582,256.0,71.0
4215611,148.0,3.0
4227304,485.0,15.0
4227544,356.0,0.0
4227831,214.0,0.0
4227880,157.0,0.0
4228105,164.0,3.0
4228119,328.0,2.0
4229950,616.0,4.0
4230061,554.0,26.0
4230739,429.0,21.0
4230749,251.0,64.0
4234009,374.0,25.0
4234016,263.0,0.0
4234559,103.0,0.0
4235139,167.0,2.0
4241192,369.0,0.0
4241237,297.0,3.0
4247099,322.0,0.0
4260935,264.0,0.0
4274518,247.0,0.0
4279887,188.0,0.0
4311241,183.0,0.0
4311586,236.0,89.0
4319395,86.0,2.0
4324479,172.0,13.0
4324567,139.0,128.0
4324898,210.0,42.0
4327684,286.0,0.0
4337398,241.0,2.0
4338596,418.0,0.0
4346154,209.0,0.0
4354933,269.0,101.0
4363883,208.0,0.0
4379508,254.0,4.0
4379603,130.0,0.0
4381129,190.0,5.0
4381377,234.0,0.0
4390116,124.0,0.0
4391317,222.0,0.0
4391978,623.0,2.0
4393026,281.0,2.0
4393049,203.0,43.0
4393350,95.0,91.0
4398543,113.0,6.0
4400767,12.0,0.0
4401350,239.0,2.0
4408362,122.0,0.0
4408369,160.0,0.0
4408397,441.0,4.0
4409374,145.0,0.0
4411505,507.0,26.0
4411542,336.0,2.0
4411688,348.0,0.0
4412036,562.0,22.0
4412315,427.0,24.0
4414163,391.0,2.0
4414184,447.0,9.0
4414426,163.0,39.0
4415241,563.0,0.0
4422289,516.0,0.0
4433197,169.0,2.0
4433960,139.0,0.0
4444354,370.0,27.0
4453485,6.0,0.0
4473922,348.0,4.0
4493199,250.0,53.0
4506509,17.0,0.0
4507955,215.0,0.0
4514494,165.0,4.0
4515496,226.0,3.0
4518546,432.0,23.0
4523584,9.0,3.0
4523803,3.0,2.0
4541081,138.0,0.0
4555763,307.0,7.0
4570270,44.0,7.0
4575178,195.0,0.0
4591713,153.0,2.0
4595609,271.0,53.0
4598109,223.0,0.0
4598363,207.0,0.0
4607160,181.0,0.0
4617479,356.0,3.0
4620453,0.0,88.0
4635057,256.0,5.0
4636432,132.0,7.0
4637677,100.0,0.0
4651929,218.0,32.0
4663875,202.0,0.0
4664256,271.0,0.0
4665186,203.0,0.0
4665627,259.0,0.0
4679139,362.0,10.0
4680995,213.0,8.0
4700078,346.0,2.0
4700182,261.0,52.0
4721087,185.0,5.0
4721538,452.0,0.0
4749004,260.0,0.0
4778745,82.0,0.0
4780707,244.0,6.0
4785242,138.0,0.0
4812481,265.0,0.0
4847079,90.0,0.0
4849988,251.0,0.0
4874953,17.0,0.0
4876704,166.0,87.0
4876839,175.0,0.0
4884579,450.0,0.0
4901087,167.0,0.0
4917442,196.0,0.0
4926999,91.0,0.0
4966994,235.0,0.0
4982172,78.0,12.0
4983938,246.0,1.0
4985759,0.0,92.0
4991243,81.0,0.0
5010581,144.0,28.0
5019924,421.0,25.0
5030808,0.0,875.0
5033480,399.0,0.0
5038703,14.0,0.0
5038920,114.0,0.0
5051342,438.0,28.0
5052370,542.0,0.0
5053417,194.0,0.0
5057916,237.0,0.0
5080991,170.0,0.0
5088293,116.0,0.0
5090549,215.0,0.0
5091874,395.0,24.0
5093516,67.0,0.0
5095269,123.0,0.0
5108525,117.0,1.0
5116147,13.0,0.0
5116861,108.0,0.0
5118060,537.0,148.0
5120097,41.0,0.0
5120990,143.0,0.0
5134110,279.0,7.0
5162462,171.0,0.0
5163599,85.0,0.0
5164129,169.0,0.0
5167842,146.0,12.0
5169587,292.0,2.0
5186443,126.0,0.0
5186461,399.0,0.0
5247102,348.0,181.0
5261424,322.0,2.0
5289042,228.0,0.0
5291791,463.0,0.0
5319633,668.0,3.0
5321459,364.0,42.0
5322337,149.0,2.0
5326407,278.0,4.0
5327961,163.0,0.0
5343578,140.0,97.0
5369028,204.0,2.0
5382876,145.0,0.0
5395823,209.0,0.0
5448622,312.0,0.0
5453333,322.0,3.0
5462159,572.0,6.0
5469039,22.0,0.0
5474852,153.0,65.0
5476653,254.0,0.0
5478818,223.0,3.0
5480553,398.0,2.0
5484314,138.0,0.0
5500958,110.0,0.0
5503982,194.0,0.0
5507096,191.0,68.0
5512988,215.0,0.0
5516552,264.0,0.0
5545085,90.0,0.0
5558724,177.0,25.0
5559657,206.0,0.0
5560620,246.0,0.0
5577650,86.0,0.0
5585799,277.0,3.0
5590611,78.0,0.0
5591201,152.0,3.0
5592307,289.0,0.0
5601924,32.0,0.0
5606265,238.0,58.0
5615961,10.0,0.0
5617164,207.0,0.0
5638694,163.0,0.0
5656152,189.0,0.0
5657004,276.0,0.0
5669107,185.0,70.0
5671303,58.0,0.0
5675990,217.0,2.0
5678582,173.0,0.0
5679304,219.0,0.0
5680013,189.0,3.0
5681132,282.0,0.0
5684940,95.0,0.0
5688091,108.0,0.0
5689639,41.0,0.0
5690425,398.0,6.0
5691934,287.0,38.0
5700090,406.0,0.0
5704424,143.0,0.0
5708994,231.0,0.0
5712849,129.0,0.0
5730322,156.0,0.0
5734134,182.0,77.0
5738449,228.0,0.0
5744058,263.0,10.0
5744502,151.0,0.0
5745110,199.0,0.0
5745929,290.0,2.0
5746180,177.0,2.0
5747036,90.0,7.0
5750884,237.0,2.0
5754346,181.0,0.0
5755261,162.0,3.0
5760480,132.0,0.0
5762666,474.0,0.0
5763407,24.0,0.0
5764924,297.0,0.0
5767836,95.0,7.0
5768240,167.0,0.0
5769582,220.0,0.0
5771934,164.0,3.0
5778133,45.0,0.0
5782947,88.0,0.0
5783868,283.0,2.0
5786898,204.0,2.0
5790355,188.0,0.0
5791548,337.0,0.0
5794678,419.0,5.0
5805651,185.0,0.0
5816138,185.0,0.0
5835799,362.0,43.0
5835815,168.0,34.0
5836035,270.0,35.0
5836163,442.0,23.0
5836181,125.0,33.0
5836197,371.0,42.0
5836206,480.0,14.0
5836387,221.0,24.0
5855343,76.0,2.0
5856647,217.0,84.0
5858788,34.0,0.0
5859372,103.0,48.0
5865628,165.0,0.0
5869204,15.0,0.0
5870071,292.0,0.0
5874480,170.0,0.0
5890323,19.0,0.0
5893912,187.0,19.0
5895651,172.0,4.0
5898284,371.0,0.0
5900426,84.0,2.0
5902352,108.0,31.0
5934511,213.0,65.0
5935744,179.0,3.0
5936935,131.0,19.0
5937084,529.0,39.0
5938794,241.0,0.0
5946241,325.0,3.0
5955853,27.0,0.0
5956787,29.0,0.0
5959820,151.0,0.0
5963873,302.0,0.0
5966099,489.0,0.0
5971400,228.0,32.0
5973097,255.0,0.0
5975584,74.0,0.0
5976168,265.0,15.0
5993001,2.0,61.0
5993765,0.0,11.0
5995125,71.0,0.0
5996485,137.0,25.0
6011278,72.0,0.0
6049565,203.0,27.0
6061068,234.0,3.0
6111289,60.0,0.0
6114695,238.0,13.0
6125806,101.0,8.0
6133702,186.0,0.0
6143930,417.0,82.0
6153877,417.0,2.0
6154200,133.0,8.0
6154921,215.0,0.0
6155577,174.0,0.0
6156152,127.0,22.0
6182848,119.0,2.0
6188181,240.0,3.0
6190181,284.0,2.0
6193472,203.0,0.0
6218461,187.0,2.0
6219445,141.0,69.0
6219781,133.0,15.0
6220384,152.0,5.0
6250655,59.0,3.0
6252764,54.0,0.0
6290724,229.0,65.0
6298455,193.0,0.0
6300434,388.0,72.0
6317793,408.0,142.0
6340439,315.0,0.0
6445994,295.0,6.0
6446394,517.0,2.0
6451332,549.0,0.0
6494274,199.0,0.0
6494382,272.0,0.0
6554358,139.0,30.0
6557581,0.0,638.0
6572414,144.0,0.0
6591182,280.0,0.0
6597872,307.0,0.0
6604203,63.0,47.0
6609380,285.0,0.0
6610913,216.0,7.0
6611100,291.0,12.0
6611894,490.0,6.0
6623049,146.0,2.0
6623089,131.0,0.0
6633635,178.0,0.0
6653450,120.0,0.0
6692908,207.0,93.0
6699205,163.0,0.0
6700147,108.0,0.0
6702830,175.0,21.0
6702943,188.0,0.0
6703240,280.0,2.0
6704232,229.0,32.0
6723364,120.0,25.0
6729443,65.0,0.0
6791927,427.0,0.0
6883831,255.0,0.0
6978585,30.0,0.0
7005145,156.0,11.0
7005184,152.0,0.0
7012280,93.0,0.0
7020344,405.0,27.0
7025064,137.0,3.0
7025831,91.0,0.0
7026287,160.0,49.0
7053966,250.0,73.0
7055857,223.0,2.0
7056904,214.0,15.0
7057730,117.0,3.0
7057894,421.0,0.0
7058243,258.0,15.0
7065182,150.0,44.0
7092086,141.0,73.0
7092417,148.0,58.0
7107433,161.0,62.0
7124156,208.0,0.0
7130033,161.0,13.0
7160160,746.0,0.0
7168356,282.0,0.0
7184082,18.0,165.0
7187384,577.0,4.0
7196392,199.0,32.0
7198338,248.0,90.0
7227010,297.0,0.0
7283193,99.0,2.0
7313896,384.0,0.0
7331555,132.0,0.0
7335439,73.0,0.0
7338309,86.0,2.0
7340629,151.0,0.0
7371184,149.0,3.0
7388340,219.0,0.0
7394271,235.0,0.0
7421507,229.0,6.0
7422253,101.0,4.0
7422595,149.0,2.0
7424178,98.0,0.0
7429933,199.0,0.0
7431625,123.0,2.0
7439909,50.0,0.0
7439913,104.0,0.0
7449767,165.0,2.0
7467027,682.0,20.0
7476468,12.0,1.0
7480731,81.0,0.0
7483922,74.0,0.0
7485368,71.0,0.0
7503199,435.0,0.0
7515491,180.0,53.0
7527710,366.0,0.0
7529574,28.0,0.0
7530253,33.0,0.0
7540581,318.0,10.0
7542938,440.0,0.0
7555204,32.0,0.0
7555968,202.0,46.0
7556564,145.0,0.0
7557604,232.0,0.0
7563413,154.0,5.0
7566199,78.0,0.0
7568455,61.0,0.0
7569260,147.0,3.0
7571966,164.0,3.0
7573476,61.0,0.0
7574701,300.0,0.0
7582412,180.0,1.0
7582489,238.0,7.0
7587948,285.0,15.0
7589765,109.0,7.0
7590264,72.0,2.0
7594047,352.0,8.0
7600311,126.0,98.0
7612147,473.0,2.0
7616956,172.0,38.0
7627878,163.0,0.0
7658146,275.0,0.0
7688300,174.0,2.0
7690945,174.0,47.0
7692008,69.0,0.0
7694589,32.0,2.0
7700444,788.0,3.0
7719118,338.0,0.0
7719547,323.0,0.0
7766016,402.0,27.0
7778722,58.0,0.0
7786053,525.0,39.0
7802210,239.0,48.0
7807684,106.0,2.0
7828725,218.0,22.0
7829784,171.0,50.0
7838405,158.0,28.0
7840203,253.0,31.0
7840791,801.0,4.0
7843730,285.0,120.0
7845346,202.0,83.0
7851153,15.0,0.0
7852250,212.0,40.0
7864823,219.0,29.0
7865652,294.0,63.0
7865696,108.0,5.0
7865767,193.0,39.0
7868195,279.0,34.0
7873135,375.0,83.0
7874184,40.0,0.0
7891312,212.0,47.0
7897051,222.0,1.0
7897469,188.0,0.0
7901791,356.0,3.0
7910624,203.0,0.0
7916593,191.0,118.0
7934904,312.0,58.0
7935088,296.0,51.0
7939890,0.0,558.0
7939979,0.0,603.0
7941642,360.0,78.0
7941652,490.0,154.0
7952981,239.0,11.0
7955278,95.0,15.0
7962986,262.0,9.0
7971031,195.0,6.0
7977834,263.0,8.0
7980189,260.0,10.0
7980369,158.0,40.0
7982307,59.0,3.0
7982324,115.0,0.0
7982896,230.0,70.0
7983899,170.0,50.0
8005609,208.0,0.0
8007556,523.0,0.0
8012953,108.0,6.0
8019816,171.0,40.0
8021456,135.0,2.0
8025665,240.0,0.0
8034919,330.0,7.0
8037197,197.0,0.0
8047280,270.0,17.0
8052161,243.0,0.0
8055671,377.0,0.0
8057753,347.0,139.0
8059283,357.0,0.0
8065380,142.0,95.0
8065771,400.0,0.0
8066542,437.0,16.0
8068173,454.0,9.0
8069365,513.0,0.0
8069432,428.0,0.0
8069478,367.0,13.0
8070872,62.0,9.0
8075484,189.0,0.0
8078096,189.0,5.0
8094859,306.0,0.0
8102935,130.0,86.0
8111135,180.0,34.0
8118474,549.0,2.0
8118929,34.0,0.0
8118947,333.0,97.0
8124177,187.0,3.0
8127390,221.0,2.0
8132513,195.0,109.0
8135412,405.0,0.0
8138616,116.0,57.0
8140109,289.0,116.0
8142831,158.0,2.0
8154054,167.0,3.0
8159396,197.0,2.0
8161142,174.0,1.0
8161148,173.0,36.0
8167696,144.0,2.0
8177199,264.0,34.0
8177991,182.0,27.0
8184598,187.0,0.0
8193545,86.0,0.0
8198238,0.0,552.0
8198317,0.0,623.0
8198416,599.0,156.0
8198513,491.0,154.0
8198913,463.0,180.0
8199012,0.0,0.0
8199671,464.0,3.0
8203947,197.0,22.0
8216541,127.0,0.0
8227502,75.0,0.0
8229118,253.0,50.0
8231264,346.0,3.0
8238322,621.0,2.0
8243455,228.0,48.0
8244723,464.0,82.0
8244823,290.0,71.0
8245014,208.0,36.0
8245146,29.0,0.0
8245513,239.0,69.0
8245692,387.0,102.0
8245869,272.0,108.0
8246081,384.0,110.0
8246750,203.0,65.0
8247451,206.0,32.0
8247641,202.0,119.0
8248631,268.0,64.0
8248706,140.0,15.0
8252067,120.0,29.0
8253413,145.0,69.0
8253620,339.0,120.0
8254894,137.0,14.0
8256186,227.0,121.0
8257672,317.0,3.0
8262302,558.0,30.0
8262372,495.0,0.0
8262503,411.0,35.0
8263140,242.0,40.0
8263285,238.0,32.0
8270683,257.0,0.0
8271034,13.0,3.0
8271875,195.0,1.0
8273369,267.0,3.0
8274021,303.0,51.0
8274902,223.0,52.0
8276782,575.0,32.0
8293958,335.0,0.0
8297018,232.0,48.0
8305958,148.0,0.0
8307514,140.0,8.0
8310087,305.0,24.0
8310955,248.0,0.0
8311264,0.0,461.0
8313802,171.0,0.0
8318678,38.0,25.0
8318813,112.0,0.0
8319311,108.0,21.0
8338584,285.0,13.0
8340950,279.0,0.0
8347613,235.0,0.0
8347720,51.0,0.0
8347907,161.0,0.0
8348277,54.0,1.0
8349454,564.0,6.0
8349553,226.0,0.0
8357933,310.0,2.0
8370111,313.0,0.0
8391330,76.0,12.0
8393981,143.0,36.0
8398900,143.0,0.0
8399890,205.0,47.0
8412625,247.0,24.0
8413543,63.0,7.0
8413663,355.0,45.0
8419602,202.0,19.0
8423405,203.0,3.0
8427677,71.0,18.0
8447845,70.0,0.0
8451818,335.0,0.0
8461082,362.0,0.0
8469124,158.0,0.0
8471817,188.0,0.0
8480221,286.0,38.0
8480418,80.0,26.0
8496618,661.0,106.0
8504660,106.0,25.0
8509534,299.0,0.0
8509987,132.0,31.0
8513389,273.0,42.0
8529400,137.0,3.0
8539175,218.0,0.0
8540770,204.0,0.0
8542422,410.0,8.0
8544824,98.0,2.0
8546775,213.0,2.0
8559525,359.0,38.0
8559607,247.0,49.0
8565131,451.0,107.0
8566140,300.0,26.0
8571259,326.0,17.0
8572353,504.0,3.0
8582134,170.0,0.0
8592501,159.0,0.0
8639662,110.0,0.0
8640212,145.0,12.0
8641784,437.0,0.0
8644484,177.0,0.0
8670503,124.0,0.0
8687096,176.0,0.0
8689148,218.0,2.0
8689674,126.0,23.0
8696919,76.0,5.0
8697453,226.0,0.0
8698941,257.0,2.0
8700125,133.0,36.0
8704079,550.0,11.0
8705088,117.0,0.0
8709865,146.0,3.0
8710444,212.0,0.0
8711574,366.0,5.0
8712361,339.0,3.0
8715940,141.0,0.0
8717042,247.0,7.0
8717219,47.0,2.0
8723267,269.0,0.0
8723983,251.0,1.0
8741619,293.0,0.0
8752697,334.0,36.0
8755914,243.0,2.0
8765298,38.0,2.0
8790590,258.0,0.0
8792477,210.0,66.0
8798010,301.0,39.0
8801715,205.0,0.0
8801736,263.0,22.0
8802069,266.0,3.0
8805777,279.0,14.0
8809171,187.0,4.0
8810141,173.0,25.0
8810739,244.0,0.0
8812078,96.0,5.0
8813113,138.0,0.0
8814524,44.0,4.0
8814922,198.0,4.0
8821758,42.0,15.0
8826198,182.0,96.0
8835968,167.0,34.0
8838927,299.0,0.0
8840343,93.0,0.0
8842220,187.0,0.0
8847957,283.0,0.0
8850802,490.0,24.0
8864096,141.0,35.0
8864778,95.0,0.0
8864785,365.0,4.0
8865199,255.0,37.0
8877158,288.0,0.0
8877795,205.0,39.0
8877971,311.0,25.0
8880781,52.0,64.0
8884212,86.0,35.0
8891315,254.0,37.0
8912726,112.0,11.0
8922644,203.0,59.0
8924186,92.0,23.0
8932110,257.0,2.0
8939384,81.0,0.0
8942413,56.0,0.0
8943485,91.0,3.0
8951591,163.0,0.0
8954310,140.0,16.0
8970595,151.0,0.0
8974428,131.0,0.0
8979434,364.0,6.0
8980589,958.0,0.0
8981761,168.0,0.0
8993049,281.0,8.0
8995807,235.0,0.0
8997281,97.0,30.0
9006142,154.0,7.0
9015568,120.0,0.0
9015745,343.0,5.0
9034378,137.0,0.0
9037152,143.0,2.0
9039416,147.0,0.0
9048462,258.0,33.0
9051500,172.0,0.0
9051960,241.0,0.0
9057043,470.0,0.0
9057998,153.0,0.0
9061235,215.0,198.0
9062992,230.0,64.0
9064208,322.0,96.0
9067063,122.0,0.0
9068024,218.0,0.0
9068346,121.0,0.0
9069084,158.0,4.0
9072237,312.0,0.0
9072560,87.0,1.0
9074101,281.0,9.0
9077224,229.0,0.0
9078240,150.0,0.0
9083312,435.0,0.0
9085808,110.0,0.0
9091922,188.0,0.0
9094797,70.0,0.0
9097065,214.0,0.0
9103710,196.0,0.0
9103732,304.0,9.0
9109799,235.0,12.0
9116228,380.0,100.0
9119558,711.0,7.0
9141404,531.0,158.0
9154024,221.0,2.0
9161929,117.0,0.0
9177218,142.0,0.0
9201911,66.0,3.0
9202326,262.0,0.0
9207332,135.0,2.0
9212816,190.0,3.0
9234420,216.0,0.0
9235545,213.0,0.0
9236708,182.0,5.0
9237370,93.0,0.0
9237734,250.0,0.0
9238937,314.0,18.0
9239759,137.0,0.0
9241349,166.0,0.0
9251793,289.0,3.0
9252296,192.0,0.0
9275210,315.0,2.0
9287199,159.0,0.0
9287906,451.0,23.0
9288827,122.0,0.0
9291437,121.0,2.0
9291474,0.0,96.0
9291938,179.0,0.0
9294475,166.0,4.0
9348984,220.0,2.0
9351843,157.0,0.0
9372642,18.0,5.0
9384504,217.0,0.0
9408003,212.0,0.0
9409359,306.0,6.0
9421292,136.0,50.0
9422291,236.0,0.0
9423829,604.0,0.0
9424902,364.0,5.0
9428865,426.0,1.0
9429085,98.0,0.0
9436520,92.0,0.0
9445876,310.0,0.0
9447255,254.0,82.0
9457719,221.0,3.0
9469519,270.0,2.0
9480916,300.0,2.0
9481869,91.0,75.0
9488991,324.0,3.0
9503203,271.0,0.0
9503414,175.0,1.0
9503428,70.0,2.0
9507904,236.0,0.0
9508724,252.0,0.0
9513911,71.0,26.0
9519425,190.0,0.0
9521722,58.0,0.0
9524538,126.0,4.0
9525492,191.0,35.0
9527333,411.0,2.0
9527522,219.0,0.0
9530532,420.0,60.0
9531722,149.0,32.0
9532295,208.0,29.0
