,axon_input,dendrite_input
3420915,13.0,167.0
3436420,97.0,188.0
3450442,44.0,393.0
3450751,38.0,125.0
3464773,73.0,0.0
3465659,34.0,0.0
3486381,25.0,242.0
3486867,15.0,176.0
3486950,51.0,306.0
3487306,3.0,0.0
3497901,87.0,62.0
3498479,83.0,140.0
3511996,33.0,0.0
3522293,71.0,19.0
3538129,43.0,289.0
3539170,51.0,99.0
3543931,33.0,93.0
3547397,59.0,0.0
3556191,4.0,0.0
3561724,1.0,86.0
3562954,33.0,0.0
3564452,12.0,109.0
3571478,12.0,72.0
3586984,4.0,0.0
3587612,93.0,65.0
3592997,71.0,0.0
3595837,20.0,79.0
3598000,30.0,46.0
3608397,0.0,0.0
3609202,3.0,0.0
3620633,78.0,401.0
3622234,13.0,204.0
3639968,0.0,0.0
3650006,26.0,63.0
3650600,4.0,0.0
3652587,22.0,0.0
3664102,226.0,74.0
3690921,46.0,109.0
3694515,35.0,0.0
3707204,55.0,99.0
3708875,16.0,0.0
3709977,31.0,76.0
3712893,45.0,318.0
3716797,34.0,0.0
3726990,15.0,39.0
3727004,2.0,39.0
3727026,2.0,41.0
3729496,29.0,146.0
3729504,6.0,70.0
3732322,40.0,89.0
3736500,12.0,181.0
3756659,26.0,93.0
3762317,46.0,145.0
3762787,2.0,58.0
3764792,15.0,182.0
3765728,37.0,119.0
3765735,31.0,230.0
3768025,14.0,0.0
3771794,24.0,0.0
3774568,37.0,0.0
3790004,49.0,0.0
3793681,12.0,50.0
3793760,53.0,244.0
3794023,11.0,94.0
3795424,24.0,0.0
3795498,12.0,0.0
3797420,49.0,123.0
3805641,48.0,90.0
3806573,67.0,272.0
3806652,63.0,226.0
3813487,115.0,91.0
3813723,46.0,0.0
3814175,40.0,123.0
3814635,13.0,147.0
3814651,48.0,69.0
3814701,51.0,134.0
3814853,57.0,294.0
3815483,17.0,57.0
3819157,98.0,65.0
3819171,72.0,45.0
3819859,15.0,29.0
3820148,28.0,73.0
3822523,41.0,0.0
3827211,73.0,0.0
3840345,39.0,0.0
3844799,27.0,179.0
3844961,21.0,114.0
3848843,3.0,84.0
3862443,72.0,301.0
3865952,72.0,0.0
3869488,41.0,139.0
3872653,10.0,0.0
3882998,7.0,21.0
3885215,67.0,0.0
3886356,265.0,313.0
3890028,231.0,376.0
3893195,54.0,0.0
3896629,32.0,0.0
3913613,41.0,118.0
3913620,53.0,343.0
3913629,42.0,233.0
3915835,10.0,0.0
3925724,2.0,25.0
3926438,5.0,53.0
3926669,0.0,59.0
3926904,8.0,15.0
3928522,4.0,123.0
3928574,0.0,78.0
3928652,0.0,82.0
3930411,16.0,64.0
3931398,37.0,307.0
3932136,50.0,133.0
3944330,8.0,57.0
3944626,22.0,338.0
3945136,24.0,87.0
3945225,5.0,107.0
3945232,10.0,172.0
3945246,34.0,375.0
3945394,14.0,93.0
3945454,20.0,128.0
3945756,36.0,150.0
3946166,54.0,324.0
3946364,34.0,114.0
3946432,16.0,86.0
3946569,9.0,78.0
3954014,47.0,0.0
3958234,56.0,0.0
3963891,50.0,0.0
3966683,3.0,0.0
3979181,55.0,149.0
3980315,53.0,0.0
3985829,29.0,0.0
3991518,37.0,194.0
4017089,3.0,0.0
4017464,52.0,234.0
4022539,61.0,794.0
4023881,34.0,0.0
4030526,17.0,0.0
4044654,2.0,0.0
4059758,19.0,0.0
4061049,10.0,0.0
4067286,80.0,225.0
4073353,79.0,0.0
4076389,37.0,0.0
4096703,3.0,0.0
4097554,5.0,0.0
4099900,56.0,176.0
4101295,21.0,119.0
4101621,34.0,163.0
4102413,70.0,162.0
4103336,53.0,145.0
4108016,43.0,100.0
4108720,17.0,101.0
4110483,20.0,59.0
4114133,94.0,159.0
4116174,186.0,373.0
4117305,177.0,31.0
4119387,26.0,628.0
4127096,20.0,81.0
4127707,20.0,105.0
4127911,3.0,34.0
4127926,34.0,100.0
4127938,7.0,65.0
4127944,15.0,24.0
4128002,23.0,76.0
4130960,19.0,167.0
4134539,174.0,32.0
4142619,23.0,124.0
4144377,40.0,166.0
4152020,24.0,55.0
4152272,53.0,108.0
4154421,55.0,115.0
4173633,24.0,80.0
4180774,23.0,93.0
4185530,35.0,68.0
4188290,25.0,74.0
4188325,29.0,75.0
4190567,68.0,66.0
4195012,112.0,462.0
4199033,112.0,252.0
4201020,31.0,100.0
4201555,104.0,49.0
4206755,8.0,156.0
4214582,39.0,208.0
4215611,24.0,83.0
4227304,165.0,33.0
4227544,158.0,66.0
4227831,54.0,192.0
4227880,32.0,99.0
4228105,32.0,67.0
4228119,82.0,243.0
4229950,250.0,136.0
4230061,235.0,51.0
4230739,173.0,39.0
4230749,76.0,474.0
4234009,56.0,242.0
4234016,41.0,71.0
4234559,35.0,114.0
4235139,75.0,148.0
4241192,225.0,49.0
4241237,96.0,521.0
4247099,145.0,80.0
4260935,24.0,101.0
4274518,32.0,76.0
4279887,32.0,115.0
4311241,67.0,26.0
4311586,53.0,102.0
4319395,19.0,56.0
4324479,26.0,33.0
4324567,14.0,138.0
4324898,11.0,177.0
4327684,15.0,317.0
4337398,33.0,115.0
4338596,24.0,0.0
4346154,31.0,55.0
4354933,20.0,144.0
4363883,18.0,0.0
4379508,21.0,85.0
4379603,39.0,60.0
4381129,158.0,123.0
4381377,351.0,264.0
4390116,15.0,68.0
4391317,28.0,127.0
4391978,23.0,427.0
4393026,10.0,66.0
4393049,28.0,100.0
4393350,30.0,71.0
4398543,16.0,56.0
4400767,0.0,71.0
4401350,71.0,628.0
4408362,11.0,82.0
4408369,94.0,107.0
4408397,95.0,331.0
4409374,40.0,92.0
4411505,165.0,36.0
4411542,43.0,190.0
4411688,98.0,373.0
4412036,201.0,39.0
4412315,142.0,15.0
4414163,435.0,120.0
4414184,422.0,147.0
4414426,75.0,55.0
4415241,293.0,76.0
4422289,49.0,216.0
4433197,27.0,54.0
4433960,36.0,117.0
4444354,169.0,35.0
4453485,1.0,100.0
4473922,118.0,320.0
4493199,16.0,122.0
4506509,1.0,90.0
4507955,27.0,82.0
4514494,31.0,122.0
4515496,48.0,127.0
4518546,127.0,25.0
4523584,0.0,96.0
4523803,0.0,80.0
4541081,11.0,53.0
4555763,41.0,135.0
4570270,43.0,67.0
4575178,66.0,127.0
4591713,53.0,101.0
4595609,47.0,195.0
4598109,34.0,264.0
4598363,45.0,539.0
4607160,30.0,63.0
4617479,57.0,332.0
4620453,0.0,65.0
4635057,34.0,77.0
4636432,32.0,60.0
4637677,16.0,35.0
4651929,16.0,171.0
4663875,15.0,68.0
4664256,35.0,288.0
4665186,108.0,102.0
4665627,37.0,65.0
4679139,16.0,280.0
4680995,27.0,359.0
4700078,33.0,380.0
4700182,25.0,293.0
4721087,19.0,70.0
4721538,45.0,158.0
4749004,85.0,57.0
4778745,21.0,56.0
4780707,34.0,163.0
4785242,17.0,124.0
4812481,34.0,122.0
4847079,21.0,109.0
4849988,52.0,118.0
4874953,0.0,133.0
4876704,12.0,76.0
4876839,21.0,184.0
4884579,392.0,231.0
4901087,15.0,143.0
4917442,22.0,125.0
4926999,21.0,39.0
4966994,64.0,138.0
4982172,82.0,55.0
4983938,35.0,49.0
4985759,0.0,85.0
4991243,13.0,52.0
5010581,34.0,71.0
5019924,185.0,32.0
5030808,0.0,1129.0
5033480,22.0,118.0
5038703,0.0,40.0
5038920,23.0,75.0
5051342,160.0,54.0
5052370,105.0,242.0
5053417,13.0,48.0
5057916,8.0,0.0
5080991,28.0,38.0
5088293,4.0,0.0
5090549,23.0,0.0
5091874,85.0,204.0
5093516,3.0,0.0
5095269,6.0,0.0
5108525,25.0,86.0
5116147,1.0,0.0
5116861,3.0,0.0
5118060,102.0,378.0
5120097,4.0,0.0
5120990,4.0,0.0
5134110,35.0,178.0
5162462,8.0,85.0
5163599,23.0,64.0
5164129,89.0,46.0
5167842,20.0,33.0
5169587,96.0,149.0
5186443,30.0,62.0
5186461,15.0,0.0
5247102,34.0,323.0
5261424,8.0,272.0
5289042,4.0,41.0
5291791,89.0,236.0
5319633,104.0,263.0
5321459,111.0,196.0
5322337,26.0,27.0
5326407,42.0,50.0
5327961,18.0,48.0
5343578,46.0,203.0
5369028,14.0,51.0
5382876,20.0,0.0
5395823,68.0,570.0
5448622,15.0,0.0
5453333,65.0,216.0
5462159,48.0,226.0
5469039,0.0,144.0
5474852,137.0,130.0
5476653,30.0,73.0
5478818,22.0,174.0
5480553,60.0,222.0
5484314,53.0,38.0
5500958,20.0,76.0
5503982,17.0,44.0
5507096,27.0,95.0
5512988,32.0,190.0
5516552,82.0,78.0
5545085,5.0,17.0
5558724,30.0,131.0
5559657,44.0,170.0
5560620,32.0,122.0
5577650,15.0,20.0
5585799,18.0,104.0
5590611,26.0,48.0
5591201,12.0,67.0
5592307,62.0,106.0
5601924,4.0,51.0
5606265,44.0,35.0
5615961,2.0,48.0
5617164,15.0,0.0
5638694,27.0,0.0
5656152,17.0,112.0
5657004,21.0,195.0
5669107,41.0,316.0
5671303,10.0,19.0
5675990,33.0,114.0
5678582,12.0,36.0
5679304,24.0,92.0
5680013,30.0,152.0
5681132,136.0,140.0
5684940,10.0,52.0
5688091,14.0,54.0
5689639,4.0,61.0
5690425,32.0,144.0
5691934,64.0,215.0
5700090,20.0,170.0
5704424,66.0,54.0
5708994,16.0,99.0
5712849,79.0,40.0
5730322,15.0,39.0
5734134,41.0,42.0
5738449,49.0,212.0
5744058,20.0,80.0
5744502,6.0,45.0
5745110,32.0,109.0
5745929,27.0,88.0
5746180,60.0,67.0
5747036,6.0,110.0
5750884,21.0,170.0
5754346,21.0,147.0
5755261,9.0,79.0
5760480,16.0,75.0
5762666,45.0,192.0
5763407,2.0,62.0
5764924,14.0,99.0
5767836,6.0,33.0
5768240,18.0,34.0
5769582,34.0,174.0
5771934,30.0,91.0
5778133,5.0,34.0
5782947,12.0,24.0
5783868,39.0,189.0
5786898,80.0,95.0
5790355,39.0,98.0
5791548,24.0,119.0
5794678,49.0,168.0
5805651,48.0,77.0
5816138,25.0,53.0
5835799,173.0,40.0
5835815,118.0,50.0
5836035,123.0,27.0
5836163,185.0,37.0
5836181,88.0,43.0
5836197,209.0,38.0
5836206,206.0,30.0
5836387,110.0,46.0
5855343,15.0,85.0
5856647,52.0,126.0
5858788,6.0,53.0
5859372,31.0,104.0
5865628,5.0,47.0
5869204,0.0,99.0
5870071,38.0,120.0
5874480,69.0,84.0
5890323,0.0,68.0
5893912,38.0,67.0
5895651,26.0,11.0
5898284,44.0,43.0
5900426,15.0,66.0
5902352,10.0,91.0
5934511,44.0,88.0
5935744,47.0,38.0
5936935,42.0,113.0
5937084,266.0,56.0
5938794,42.0,130.0
5946241,50.0,199.0
5955853,2.0,10.0
5956787,2.0,40.0
5959820,17.0,49.0
5963873,35.0,69.0
5966099,269.0,341.0
5971400,123.0,327.0
5973097,67.0,142.0
5975584,11.0,74.0
5976168,41.0,185.0
5993001,1.0,77.0
5993765,11.0,77.0
5995125,8.0,70.0
5996485,8.0,81.0
6011278,32.0,47.0
6049565,48.0,73.0
6061068,29.0,178.0
6111289,24.0,58.0
6114695,27.0,75.0
6125806,9.0,119.0
6133702,32.0,110.0
6143930,170.0,200.0
6153877,60.0,265.0
6154200,47.0,56.0
6154921,28.0,80.0
6155577,29.0,40.0
6156152,10.0,235.0
6182848,18.0,97.0
6188181,59.0,157.0
6190181,25.0,312.0
6193472,30.0,117.0
6218461,35.0,68.0
6219445,13.0,63.0
6219781,17.0,47.0
6220384,8.0,44.0
6250655,5.0,16.0
6252764,0.0,19.0
6290724,39.0,367.0
6298455,37.0,99.0
6300434,41.0,418.0
6317793,47.0,340.0
6340439,30.0,0.0
6445994,81.0,153.0
6446394,51.0,210.0
6451332,58.0,240.0
6494274,37.0,144.0
6494382,25.0,80.0
6554358,32.0,125.0
6557581,0.0,1127.0
6572414,20.0,163.0
6591182,36.0,305.0
6597872,37.0,307.0
6604203,5.0,38.0
6609380,61.0,173.0
6610913,25.0,142.0
6611100,67.0,456.0
6611894,307.0,218.0
6623049,13.0,62.0
6623089,27.0,110.0
6633635,24.0,94.0
6653450,14.0,80.0
6692908,18.0,187.0
6699205,15.0,331.0
6700147,18.0,138.0
6702830,96.0,48.0
6702943,36.0,72.0
6703240,32.0,202.0
6704232,96.0,66.0
6723364,19.0,155.0
6729443,9.0,22.0
6791927,43.0,0.0
6883831,16.0,0.0
6978585,0.0,94.0
7005145,12.0,108.0
7005184,42.0,49.0
7012280,11.0,0.0
7020344,38.0,60.0
7025064,27.0,75.0
7025831,20.0,28.0
7026287,89.0,203.0
7053966,38.0,242.0
7055857,92.0,477.0
7056904,68.0,244.0
7057730,25.0,100.0
7057894,274.0,278.0
7058243,101.0,235.0
7065182,33.0,402.0
7092086,16.0,77.0
7092417,17.0,120.0
7107433,16.0,160.0
7124156,15.0,115.0
7130033,23.0,60.0
7160160,30.0,0.0
7168356,33.0,74.0
7184082,28.0,210.0
7187384,239.0,51.0
7196392,125.0,67.0
7198338,18.0,126.0
7227010,57.0,42.0
7283193,26.0,45.0
7313896,65.0,153.0
7331555,24.0,0.0
7335439,29.0,70.0
7338309,26.0,53.0
7340629,31.0,0.0
7371184,33.0,54.0
7388340,34.0,168.0
7394271,71.0,68.0
7421507,65.0,361.0
7422253,18.0,107.0
7422595,18.0,183.0
7424178,12.0,0.0
7429933,36.0,179.0
7431625,38.0,117.0
7439909,2.0,0.0
7439913,9.0,54.0
7449767,27.0,62.0
7467027,26.0,496.0
7476468,2.0,60.0
7480731,1.0,0.0
7483922,0.0,0.0
7485368,0.0,0.0
7503199,42.0,437.0
7515491,14.0,145.0
7527710,56.0,0.0
7529574,3.0,5.0
7530253,0.0,18.0
7540581,79.0,87.0
7542938,40.0,0.0
7555204,1.0,0.0
7555968,30.0,136.0
7556564,16.0,0.0
7557604,14.0,137.0
7563413,21.0,30.0
7566199,0.0,0.0
7568455,0.0,0.0
7569260,35.0,83.0
7571966,68.0,94.0
7573476,4.0,108.0
7574701,106.0,190.0
7582412,19.0,72.0
7582489,33.0,122.0
7587948,42.0,145.0
7589765,16.0,89.0
7590264,9.0,88.0
7594047,50.0,218.0
7600311,69.0,287.0
7612147,134.0,326.0
7616956,544.0,166.0
7627878,9.0,0.0
7658146,35.0,0.0
7688300,52.0,70.0
7690945,104.0,61.0
7692008,16.0,64.0
7694589,11.0,25.0
7700444,82.0,259.0
7719118,30.0,175.0
7719547,53.0,0.0
7766016,73.0,200.0
7778722,1.0,0.0
7786053,183.0,42.0
7802210,34.0,659.0
7807684,23.0,88.0
7828725,106.0,56.0
7829784,97.0,70.0
7838405,124.0,48.0
7840203,113.0,55.0
7840791,88.0,666.0
7843730,19.0,177.0
7845346,11.0,151.0
7851153,12.0,32.0
7852250,22.0,115.0
7864823,17.0,105.0
7865652,25.0,138.0
7865696,14.0,82.0
7865767,12.0,157.0
7868195,169.0,26.0
7873135,22.0,167.0
7874184,6.0,67.0
7891312,115.0,51.0
7897051,108.0,188.0
7897469,159.0,105.0
7901791,274.0,150.0
7910624,146.0,131.0
7916593,7.0,100.0
7934904,19.0,217.0
7935088,31.0,205.0
7939890,0.0,979.0
7939979,0.0,1124.0
7941642,171.0,208.0
7941652,195.0,214.0
7952981,20.0,114.0
7955278,29.0,13.0
7962986,80.0,153.0
7971031,26.0,78.0
7977834,34.0,103.0
7980189,88.0,795.0
7980369,88.0,210.0
7982307,16.0,166.0
7982324,7.0,91.0
7982896,81.0,122.0
7983899,451.0,189.0
8005609,26.0,0.0
8007556,33.0,181.0
8012953,9.0,46.0
8019816,50.0,147.0
8021456,17.0,150.0
8025665,23.0,131.0
8034919,112.0,249.0
8037197,66.0,133.0
8047280,41.0,129.0
8052161,48.0,96.0
8055671,33.0,0.0
8057753,35.0,219.0
8059283,33.0,129.0
8065380,11.0,193.0
8065771,44.0,322.0
8066542,243.0,20.0
8068173,272.0,51.0
8069365,56.0,235.0
8069432,118.0,218.0
8069478,76.0,235.0
8070872,14.0,63.0
8075484,20.0,213.0
8078096,62.0,135.0
8094859,20.0,441.0
8102935,62.0,252.0
8111135,39.0,116.0
8118474,277.0,145.0
8118929,11.0,50.0
8118947,40.0,213.0
8124177,16.0,57.0
8127390,11.0,115.0
8132513,22.0,205.0
8135412,48.0,178.0
8138616,37.0,91.0
8140109,13.0,157.0
8142831,13.0,68.0
8154054,31.0,74.0
8159396,63.0,59.0
8161142,55.0,63.0
8161148,118.0,217.0
8167696,22.0,42.0
8177199,105.0,79.0
8177991,90.0,66.0
8184598,27.0,211.0
8193545,14.0,98.0
8198238,0.0,1201.0
8198317,0.0,1044.0
8198416,242.0,238.0
8198513,227.0,209.0
8198913,37.0,208.0
8199012,0.0,0.0
8199671,122.0,239.0
8203947,143.0,184.0
8216541,20.0,54.0
8227502,16.0,29.0
8229118,58.0,238.0
8231264,103.0,127.0
8238322,100.0,289.0
8243455,15.0,178.0
8244723,43.0,238.0
8244823,10.0,171.0
8245014,12.0,117.0
8245146,6.0,71.0
8245513,20.0,160.0
8245692,24.0,198.0
8245869,22.0,128.0
8246081,41.0,195.0
8246750,17.0,140.0
8247451,13.0,137.0
8247641,70.0,255.0
8248631,17.0,125.0
8248706,83.0,39.0
8252067,26.0,77.0
8253413,12.0,163.0
8253620,27.0,209.0
8254894,11.0,50.0
8256186,9.0,131.0
8257672,59.0,292.0
8262302,205.0,45.0
8262372,247.0,118.0
8262503,122.0,40.0
8263140,127.0,63.0
8263285,119.0,43.0
8270683,26.0,136.0
8271034,17.0,22.0
8271875,135.0,65.0
8273369,87.0,84.0
8274021,30.0,290.0
8274902,131.0,61.0
8276782,20.0,486.0
8293958,87.0,131.0
8297018,108.0,185.0
8305958,20.0,129.0
8307514,47.0,160.0
8310087,76.0,227.0
8310955,57.0,190.0
8311264,0.0,945.0
8313802,13.0,74.0
8318678,65.0,42.0
8318813,44.0,40.0
8319311,150.0,108.0
8338584,93.0,387.0
8340950,21.0,110.0
8347613,30.0,131.0
8347720,20.0,50.0
8347907,18.0,37.0
8348277,16.0,30.0
8349454,141.0,466.0
8349553,25.0,124.0
8357933,23.0,138.0
8370111,41.0,43.0
8391330,15.0,64.0
8393981,87.0,35.0
8398900,28.0,71.0
8399890,14.0,159.0
8412625,35.0,154.0
8413543,12.0,23.0
8413663,162.0,58.0
8419602,122.0,90.0
8423405,21.0,113.0
8427677,67.0,40.0
8447845,0.0,0.0
8451818,86.0,141.0
8461082,55.0,240.0
8469124,21.0,59.0
8471817,19.0,161.0
8480221,14.0,210.0
8480418,72.0,144.0
8496618,56.0,277.0
8504660,87.0,40.0
8509534,32.0,358.0
8509987,74.0,42.0
8513389,133.0,40.0
8529400,11.0,46.0
8539175,37.0,121.0
8540770,90.0,159.0
8542422,107.0,298.0
8544824,15.0,29.0
8546775,33.0,168.0
8559525,37.0,268.0
8559607,127.0,64.0
8565131,78.0,314.0
8566140,36.0,163.0
8571259,40.0,108.0
8572353,43.0,271.0
8582134,13.0,54.0
8592501,5.0,80.0
8639662,2.0,78.0
8640212,11.0,24.0
8641784,123.0,18.0
8644484,4.0,94.0
8670503,11.0,75.0
8687096,14.0,66.0
8689148,22.0,110.0
8689674,149.0,133.0
8696919,10.0,41.0
8697453,32.0,137.0
8698941,57.0,167.0
8700125,95.0,214.0
8704079,21.0,458.0
8705088,11.0,58.0
8709865,24.0,76.0
8710444,55.0,116.0
8711574,91.0,225.0
8712361,72.0,251.0
8715940,1.0,144.0
8717042,19.0,247.0
8717219,9.0,80.0
8723267,14.0,161.0
8723983,16.0,33.0
8741619,27.0,145.0
8752697,75.0,176.0
8755914,35.0,130.0
8765298,4.0,43.0
8790590,6.0,47.0
8792477,40.0,86.0
8798010,125.0,469.0
8801715,74.0,64.0
8801736,67.0,83.0
8802069,50.0,56.0
8805777,36.0,128.0
8809171,45.0,58.0
8810141,14.0,28.0
8810739,11.0,0.0
8812078,7.0,70.0
8813113,32.0,95.0
8814524,62.0,48.0
8814922,30.0,176.0
8821758,15.0,35.0
8826198,2.0,183.0
8835968,101.0,62.0
8838927,43.0,65.0
8840343,57.0,38.0
8842220,16.0,89.0
8847957,45.0,174.0
8850802,247.0,43.0
8864096,94.0,48.0
8864778,46.0,42.0
8864785,63.0,350.0
8865199,89.0,47.0
8877158,45.0,312.0
8877795,46.0,75.0
8877971,38.0,260.0
8880781,2.0,69.0
8884212,26.0,72.0
8891315,108.0,61.0
8912726,21.0,86.0
8922644,106.0,195.0
8924186,61.0,47.0
8932110,38.0,112.0
8939384,31.0,77.0
8942413,4.0,38.0
8943485,11.0,28.0
8951591,28.0,33.0
8954310,22.0,47.0
8970595,22.0,114.0
8974428,32.0,30.0
8979434,34.0,181.0
8980589,133.0,1481.0
8981761,47.0,125.0
8993049,75.0,53.0
8995807,20.0,67.0
8997281,55.0,52.0
9006142,14.0,160.0
9015568,15.0,111.0
9015745,140.0,64.0
9034378,40.0,71.0
9037152,17.0,56.0
9039416,94.0,48.0
9048462,14.0,36.0
9051500,58.0,130.0
9051960,82.0,194.0
9057043,80.0,532.0
9057998,63.0,125.0
9061235,34.0,160.0
9062992,32.0,91.0
9064208,50.0,124.0
9067063,12.0,123.0
9068024,71.0,84.0
9068346,12.0,94.0
9069084,22.0,148.0
9072237,23.0,66.0
9072560,17.0,123.0
9074101,53.0,242.0
9077224,40.0,78.0
9078240,62.0,99.0
9083312,107.0,407.0
9085808,28.0,59.0
9091922,32.0,3.0
9094797,8.0,40.0
9097065,25.0,92.0
9103710,33.0,69.0
9103732,31.0,192.0
9109799,74.0,349.0
9116228,67.0,321.0
9119558,72.0,277.0
9141404,33.0,474.0
9154024,41.0,35.0
9161929,23.0,71.0
9177218,13.0,70.0
9201911,24.0,56.0
9202326,17.0,208.0
9207332,16.0,83.0
9212816,55.0,143.0
9234420,44.0,194.0
9235545,28.0,74.0
9236708,64.0,89.0
9237370,25.0,25.0
9237734,29.0,75.0
9238937,55.0,188.0
9239759,23.0,28.0
9241349,15.0,168.0
9251793,92.0,59.0
9252296,100.0,67.0
9275210,33.0,93.0
9287199,32.0,59.0
9287906,57.0,294.0
9288827,43.0,90.0
9291437,27.0,50.0
9291474,0.0,77.0
9291938,15.0,88.0
9294475,53.0,59.0
9348984,27.0,58.0
9351843,31.0,45.0
9372642,0.0,127.0
9384504,78.0,38.0
9408003,44.0,151.0
9409359,64.0,314.0
9421292,20.0,77.0
9422291,33.0,164.0
9423829,106.0,530.0
9424902,59.0,463.0
9428865,91.0,114.0
9429085,6.0,39.0
9436520,11.0,19.0
9445876,93.0,143.0
9447255,26.0,128.0
9457719,65.0,151.0
9469519,18.0,412.0
9480916,18.0,43.0
9481869,10.0,106.0
9488991,22.0,103.0
9503203,37.0,0.0
9503414,19.0,85.0
9503428,19.0,83.0
9507904,15.0,127.0
9508724,41.0,144.0
9513911,13.0,42.0
9519425,43.0,58.0
9521722,17.0,32.0
9524538,21.0,76.0
9525492,80.0,56.0
9527333,29.0,186.0
9527522,51.0,210.0
9530532,29.0,334.0
9531722,90.0,45.0
