,Input nodes,Output nodes,Train MSE,Test MSE
32,[1655 1214 1667 2676   55],[1704 2248 1637 2608 1343],0.3895609717466948,0.5276676319629887
33,[1655 1214 1667 2676   55],[2505 2877 1765  118 1359],0.2524310336351051,0.6181277097169992
34,[1655 1214 1667 2676   55],[2556 2472 2866 2088  367],0.31410539624632505,0.6345555673748179
35,[1655 1214 1667 2676   55],[2027 1760  318 2890  897],0.32179691853155545,0.6243188170226436
36,[1655 1214 1667 2676   55],[1185 2110 2705 1698  196],0.30605529759715916,0.6734392651834855
37,[1655 1214 1667 2676   55],[ 543 2247 1425 2721 1830],0.28148317337417167,0.8106550326709283
38,[1655 1214 1667 2676   55],[1443 2698  816  291 1791],0.32116676558851587,0.582610437865824
39,[1655 1214 1667 2676   55],[ 298  521  559 2827  787],0.2534219235273981,0.6269137399049621
40,[1655 1214 1667 2676   55],[2037   66 1079 2787 2071],0.4436733389232377,0.5452098334913922
41,[1655 1214 1667 2676   55],[1142   74 2493 2574  630],0.30648686807578857,0.9010781178465807
42,[1655 1214 1667 2676   55],[ 182 1260 1359 1374 1464],0.37215512281522367,0.6438988944634324
43,[1655 1214 1667 2676   55],[ 324 2128  791 2070 2769],0.3092248243564786,0.6763744655786558
44,[1655 1214 1667 2676   55],[2665  210 2278  437 1826],0.2879720939686559,0.6470410013729613
45,[1655 1214 1667 2676   55],[1858 1337 1008 2607 1916],0.3140485211368924,0.5586253361198384
46,[1655 1214 1667 2676   55],[  25 1922  856 1228  693],0.2950055038926684,0.6201761759412311
47,[1655 1214 1667 2676   55],[ 891 2816  962 1939 1200],0.3609048887527301,0.6475858209597867
48,[1655 1214 1667 2676   55],[  98 2628 1105 1489 2434],0.32005800351440566,0.781123769177637
49,[1655 1214 1667 2676   55],[1868 2303 2786  124 2630],0.2589803967207573,0.672409276526745
50,[1655 1214 1667 2676   55],[ 625  483  600 2661  449],0.34135455120063135,0.6933950581279245
51,[1655 1214 1667 2676   55],[ 714  627 1304 2440 1231],0.32256094221503495,0.6030444487156384
52,[1655 1214 1667 2676   55],[ 329  664  724 2309 2572],0.3147713390112836,0.7285726438245024
53,[1655 1214 1667 2676   55],[ 623  193 2624  390  670],0.28781867743012823,0.598036907236803
54,[1655 1214 1667 2676   55],[1298 2722 1452 1843    4],0.36106155699978837,0.5017971759295075
55,[1655 1214 1667 2676   55],[ 264 2236 2423 1365   25],0.3360423804462507,0.5265726912261799
56,[1655 1214 1667 2676   55],[2005 1989 1146 1684  636],0.3900036516634855,0.6298686958196202
57,[1655 1214 1667 2676   55],[2456 1927   72 1680 2809],0.4032133697376697,0.632049038807516
58,[1655 1214 1667 2676   55],[ 325 1168  865 2563  555],0.3158427774043251,0.5878925785818307
59,[1655 1214 1667 2676   55],[2810  342 1942  231 2622],0.35023866602193693,0.6941671938317001
60,[1655 1214 1667 2676   55],[2618 2145 2823 2317 1737],0.34594127545061965,0.5450750001747108
61,[1655 1214 1667 2676   55],[ 423 2227 2067  960 2697],0.3182272986644718,0.6458087449148111
62,[1655 1214 1667 2676   55],[1445 2092 2822  186 2855],0.3954370004327045,0.47733129024737786
63,[1655 1214 1667 2676   55],[ 308 1070 2046 1337 2474],0.299726071978891,0.5652207276100845
64,[1655 1214 1667 2676   55],[1240  404  871 2000 1107],0.36562357008338525,0.5108081564099244
65,[1655 1214 1667 2676   55],[  86  691  401 2404  265],0.3327677977961845,0.6003620606405857
66,[1655 1214 1667 2676   55],[1064 1090 2650 2876 1828],0.3399669936490758,0.6777709799336362
67,[1655 1214 1667 2676   55],[1029 2158  647 2286  772],0.39537678730481407,0.7031968611696495
68,[1655 1214 1667 2676   55],[2446 1694 2256  205 1330],0.3377423277324992,0.5223815977183356
69,[1655 1214 1667 2676   55],[ 394  669 1225 2246 1920],0.36861352088955346,0.6840719117841129
70,[1655 1214 1667 2676   55],[1438  927 2249 2180 2899],0.28320849307520074,0.9305000287138244
71,[1655 1214 1667 2676   55],[ 436 2950 2406 1998 1791],0.3572070237399656,0.477147531826866
72,[1655 1214 1667 2676   55],[2287 1007 2224   61 1008],0.32947377289410645,0.8500994792415211
73,[1655 1214 1667 2676   55],[1691  358  117 1804 1884],0.31268267077687784,0.7853947743367781
74,[1655 1214 1667 2676   55],[ 116 2922  551  644 1733],0.34422230218065747,0.5483687797530447
75,[1655 1214 1667 2676   55],[ 766 1266  834 1577  887],0.3467757191058228,0.6841495901948803
76,[1655 1214 1667 2676   55],[2725 2906  192 1137  267],0.33315925336808017,0.5284147206165554
77,[1655 1214 1667 2676   55],[ 925 1953 1881 2602 2936],0.352678436417683,0.6217484029549628
78,[1655 1214 1667 2676   55],[ 255 1930 2749 2113 1098],0.31277763369799555,0.7354606445114221
79,[1655 1214 1667 2676   55],[2497 1471  517 2817  990],0.39640044484884573,0.4989206761127117
80,[1655 1214 1667 2676   55],[2506  304 1853 1448  534],0.30806519475950217,0.5516902661207755
81,[1655 1214 1667 2676   55],[2134 1797 2344 2925  447],0.35503121371185953,0.6672801214744397
82,[1655 1214 1667 2676   55],[1436 2017 1681 2031 2826],0.2867942927221876,0.7366552287532534
83,[1655 1214 1667 2676   55],[1429  405  641 2601 2330],0.3309093399059507,0.4663015975777788
84,[1655 1214 1667 2676   55],[2840 2861  159  791  820],0.3497266508730963,0.6728487744509978
85,[1655 1214 1667 2676   55],[1017 2542 1080 2262  885],0.3439660732117076,0.7273261506509092
86,[1655 1214 1667 2676   55],[2175 1159  216 2597   12],0.33447601495180707,0.6733934347178433
87,[1655 1214 1667 2676   55],[ 943 1309  455  462 2057],0.31053350862988727,0.6075921521482863
88,[1655 1214 1667 2676   55],[1739  250 1655   87 2452],0.2503186556307913,0.7241082980100672
89,[1655 1214 1667 2676   55],[ 602 2546  376 2020  744],0.3446239787388495,0.5325069075693629
90,[1655 1214 1667 2676   55],[2808 1924 1631  735 2154],0.36430863633256133,0.5782407031909688
91,[1655 1214 1667 2676   55],[1567  965 2398 1820 1254],0.3243907673128373,0.6254970389875744
92,[1655 1214 1667 2676   55],[2117  522 2840 1965 2106],0.35141188792620626,0.5986714488939986
93,[1655 1214 1667 2676   55],[1238 2476  141 2557   74],0.31940289416580503,0.6764228685182678
94,[1655 1214 1667 2676   55],[1827 2531  658 1842  385],0.34011323635054236,0.7133140310804644
95,[1655 1214 1667 2676   55],[ 949 1620  966 1199 2886],0.31045440799602425,1.099872448186089
96,[1655 1214 1667 2676   55],[ 570  423  110 1074  375],0.3320439069606857,0.5080374032205004
97,[1655 1214 1667 2676   55],[1287  519 1605 1049 1337],0.3634278920436343,0.7795276932374834
98,[1655 1214 1667 2676   55],[2113  399 2779 2822 2437],0.2590459729300921,0.5725458894708468
99,[1655 1214 1667 2676   55],[2903 1768 2886 1899 1706],0.37664935820127465,0.5782566580728646
100,[1655 1214 1667 2676   55],"[2065 2937 2146  921  324  621  485    2 1644 1995 2115 2772 2872 1066
 2760 1237 2652  513  253 1960 2848  948 1525  300 2826 2183 1453    1
 1290 2246 1759  325 2679 1322 2525 2033  904 1232 2844 2472  225 1707
 1115 2627 2438 1572 1410 1902 2303 1818 1978 2475  256 2537 2052 2559
 1253  254  333  423 1484 1649 1336  853 1543 2902 1320   33 1056 2016
 2555 1856 2231  886 1688  419  161 2233 2742 1351 2292 2370 2912 2885
 2187   68 1267 1731 2705  296 1432  281  312 2390 1477 2703 1923  659
  996  111 1128 2309 1286  234  318 2511 1655 2750 2328 1059    0 2781
 2517  717  804   17  154  965  165 2112  301 2074 2909  665 1944  440
 1884   35  919 2387 2875 1139 1833 2506 2852  937  748 2325   82 1590
  252   97 1668   14 2808  604 2466 1172 2345  350 1389  791  219  171
 2922  449 2725  179 2868  869  936 1550 1756 2630 1235 1832  250  651
  340 1010 1117 1450 1043 2208 2131 2069 2876 1272 2846 1928 1199 1659
  664 1399 2943  522 1083  463 1023 2342  548  240  667 2403 2915 1072
 2890 1720 2606  104 2213  865 2028 2038 2721  714   76 2162  909 1371
 2610  691  951  382 2274 1662 1520 1292 1730 1683  843 2160 2012 1615
 1910 2879 2745  391  383  502 1809  406 1293 2262  515 1013 1461 2454
  539 1897 2582  777 1404 1228 1079  184 2279 1073 2277  781  497 1366
  150  728 2752  326  702 2792 2637 2223  496  211  871  128 2281 1181
 1090  189 1905 2495 2417 2618 2756 2150 1446  363  816 1129  140 1743
 1831 2658 2087  958  759 2269 2081 2607  229 2224 2570 2179 2780 2491
 2072 1945 1413 2206 1800  529 2759 2646 2125 1737 1005 1813  638 1741
 2838 2298 2420  378 1847 1606 1991  683 2542  693  412 2248 2221 1977
 1972 2305 1930 2581   53 2047 2349  952  811 1457 1210 2323 2653 2605
 1260 1768  912 2554 1746 2449 2729  486  661  608 1082  156  557 1193
  109  669 1839 1206   27  257 1817  238 1564 2107 1735  366 2006   88
  532 1667 2404  528  337 1481  192 2818  374 2710 2136 1225 1029  757
 2284 2786   64 1314  512 2746 1278  327 2039 1289  586 2561 2094 1392
 2706 1772 1157 2068 2329  279  612 1202  705  765 2392 2824  814 1966
 2773  206 1534 1356 1146 2093 2331  274 1765  787 1026  798 1932 2594
   36 1136  277  844  540  968 1907  155   89  106  493 2050 1549 1455
 2880 2147 1622 2804 2544 1337 2440 1715 1266  101  149 2806 1830  663
  294  480  582 2823 2696  351 1846  380  896 2893 2842 2457 1678 2021
 2138  597 2622  307  399 1850 1367  820 2042 1617 1297 2462 2182 2046
  388  162 1099  879 2796 2170 1279 2489 1374 1064  988 2697 1987  986
 1015 1943  932   28  976  478  457 2563 1714 2726 1396  817 2413  994
  451 1006  241 1962 2665 1383 2241 1326 1245 1069 1368  236  654 2157
 1246  286 1084 2515 1592 1545 1360 1265 1126 2057 1346 1395  841 1498
  197 2669  611 1140 2592 2716  516 1857 1222  655 1889 1362  887 2245
 2276 1757  499 2723 1397  650 2512 1060 2422 1516  328   21 2175 1309
  181 2500  195  228 1402 1194 1376  727  144 2463 2001  808 1591  835
 1863 1862 1377  470 1844  883   24 1860 1798 2837  303  689 1416 2319
 2261 1719 1282 1953  347  214 1998 1540 1179  311 2431  306 2528   92
  276 1294 1626   80  653 1703  387 1843 2865 1535 1149 1751 1370  939
  772 1213 1160  776 2199 2916  242 1429 2850 2928  396 2433  858  737
  993 2567 1125 2148 1561 1885 2382  558 1207 1251 2738 1781 2186  571
  454  836 2401 1693 2861  447 1451 2617 1560 1173 1328  549 1318  474
 1345  773 1427 2877 1971  706 1901  261 2176 2320  580 2313 2649  920
  845 2657 2361 1095 1034 2572 1311 1426  503 1166 2825 1024 2913  475
 2948  175 2883   95 2210 2878  285  200 1197 2354  775 2252  699 1101
  735 1192 1068 1918 1111 2771 1230 1794 1425 1523 1973  477 1937 2117
 2266 2813  933  527 1507  730 1239 1775 2174 2301 2193 2066  854  224
    5 1569 2273  916 2765 2263 1052 1388 2106 2377  971 1566 1440 1183
 2133  404 1467 1814 2574  622 2720 2270  469  692  671  700  498  809
  359 1717 1200 2533 1130 1812  581  708 1143  756  509 2294 1804 1046
 1894 1493 1559  379 1586 1554 2564 2598  716 2694  610 2378  751 1041
 1171 2265 2931 2424 1500 2700 2820 1096  762 2177 1327 1299 1511  408
 2642   78 2474 1240  662  870 2059 2381 1653  459   77 1522  598 2398
 1770 2003 1881 1274  785 1262  934  334 2432 1256  629 2064  999 1873
 1306 2927 1065 2507  925 1214  259 2355 2425 1456 2899 2490 2351 2719
 1170 2602 2418  656 2840  249 1220 2330  906 1468  376 2035 1495    9
 1997 2730 1795  734 1946  147 1969  142 2243 1568 2137 2553 2295 2123
  550  682  815  401 1055  555  818 1723  860 1132 1209 1408  354 2108
  640  182  874    7 1480  614  353 2638 2083 1113 1594  617  891 2249
 2088  193 2289 1116  997 2340  196 2769  357 1685  975  587 1331 1504
  514  348 1234 1122 1189 2190 1050  632  599 2166 1571  483 1062 1645
 2321 2393 2743 1675  631 2713 2600 1864 2366  356 2165 2681  484   13
 1661 2923  877 1766 2886 2227 1401 1442  202 2070  390 2024  255  741
 2854 2938  635  119 1598 2871 1941  780 2925 1824 1135 2455 2149 2089
 2546 2155  223 2180 2946 1307 2078 2029  489  365   15  709  658 2383
 2082  718 1993 2437 2015 1418 1387  452  124 2023   48   23  217  641
  360 2163 2777  270   40 2920]",0.003370375676418672,0.7099811408599664
101,[1655 1214 1667 2676   55],"[ 233 2355 2637 1432  442 1146 2664 1157 2785 1338 1899 2775 2457   53
 1809 2950 1406 1771 1271 2743 1380  496 2618 1801 2331  363 1873 1790
 2848 2359 2918 2073  165 2449 1992 2019 2542 2856  514 2765 2858  543
 1668 2660 1434 2552  319    1   35  717 2559 2793 2538 2231  865 1648
 1934 2083  760 2488 2422 1040  207 2239 2734  711 1118 1957 1754 1849
  503 2690 2160   73  595 2628 1605 2570 1477 2260 2643 2901  875 1318
 1300 2907  554 1565  882  768  797 2242  410  676 2478 2402  517 1384
  194 1750 1225 2503  648 1046  751 2003 2373  937 1764 2665  523 2509
 1964 1465 2288 1415 2790 2406  582 1033 1749  821 1153 1843  622 2264
 2227 2201 1868 1411 1733  404 1076 1985 1193   51 2894 2505  753  501
 2237  559 1142 1945 1010 2726 1288 1812  407  989  905 1988 1042  353
 1075 2730 1002 1134  949 1876 2054 1420 2209 2464 1933 1806  369  879
 2599 1527 1984  206  787  901  307 1799 2382  909 1586 1936 2531  982
 1831 2575 1298   46 2111 2070 1312 1449 1795  665 2069 2135  995  241
 1839 1243 2215  824 2541 2911  877 2114 1265    6 2928 1161 1069 1644
 2041  246  938  425 2556  445   67  588    3 2170 2810 1563  302 2221
 2079 1596 1905  829 2829  434  959 2905  322 2109 2833    9 1176 1390
  324  120 2084 2845 1191  389 2656 1626 2866 2836 1727 1566  916  651
  775 2116  371  893   41 2659  421  640  446 2426 2168 1976  238 2462
  869  638 1491 1915  461  360 2647 2217 1123 2192 2620 2497 1145 1721
 1577 1927 2696   16 2164 1450 2301 2714 1459 1231 2293 1331  105 2496
  573 1940 2699 2661 1690 2587 2610 1982 1486  391  957 1946 1147  974
 1789  614 1667  531  220 1456 1211  550 2706 2500 2675 2799 2423 2908
 1977 2574 2165 2868 1352  155 2499 1187 1643 2048 1052 2744  312 2127
 2899 2451 1253  920 1121 2530 1526 1417  158  414  736 1552 2872 1504
   15 1212  377  379 1422  654  726 2167 2093  401  336  749 2520 2689
 2580 2801  659  958  743 2091  117   43 2495 2568 1759  365  132 1718
  759 2636 2275 1071  334 2769 1884 1240 2352 1766 1023  706 2419  836
 1190 2163  133 1850  804 1244 1228  663  497 2455  551 2409  191 2691
 1521  387 1119   52  253  606 2704 2586 2800 2670 1140 2818 1013 1960
 2621  705 1195 2910 1523 1664 2847 2314 1404  538 1658  961    5 1041
 2834 1361  282  792 2766 1597 1685 2718 1546  769 1204 1654  810  304
  147 2600 1881 2605 1745 1344 1619 2598 2711 1723 2095  795 1990 1517
  914 2933 1045  532 1969  615 1037 1784   18 2619 2356 2193 2921 2431
  964 1506 2099 2456 2768 2338  408 1400 2210 1295 1756  552 2795 2539
 1912  642  696 2006  724  547 2200 1319  625  110   39  234  574  406
 1607  924 2939 1467  340 2328 2562 1090 2526 2507 2153  954 1893 1405
 1583 1819 2023 1007  502 2616 2553  173 2413  118 1885  170  527  343
 2061 2045 1792  650 1679 2589  264 1639  162 1872 1541  624  983 1908
  776  172 1511  397 2703 1107 2049 2286 2475 1441 1363 1525  188  767
 1068 1878 2812 1716 1875 1485 2584 1439 2244  860 1821  346 1024   93
  131  266 2148 1106 1334  931  339 1924 1624 2098  895 2156  846 2490
 1419   85 2326 1763 2053 2886  412 2316  692 2104  856 1180 1913  884
  429 2830  384 1173 2469 2859 1385  889  345  287 2308  820 2433 1429
  225  539  262  299 1065 1469 1635 1823 2874  699  179 2756  587 2367
  684 2021 2650  827 2913 2777  166 1610 2204 2537 1559 1216  825  280
  108 1063  805 2283  851 2682 1612 2320  807  793 1815 1478  394 1736
 2903 1102 2066  886 1803 2632 2097 1030 2685 2626 2923 2817 2125  690
 2377 2345 1617  880  560 1954 1621  826 1887 2844 2245 2639 1093 2871
 2176  111  161  335 1545 2055  271  333  681 2152 1316 2390 2300 2064
 1972 1096 1711 1769 2155  487 1395 2798 2557 2467 2544 1904  284  806
 1311 1192 1412 2523 1174 1348 2411 1687  328 2258 2897  911 1891 1767
 2157  213  674 1781  761  992 1054  727 1394 1996  492  850 1561  981
 1387 2248 1282 1944 1986 1022  494 2278 1632  534 1466 2784  873   98
 1714  988 1284 1584 1594 1958 1931  380   30 2336 1543 2434 1588  364
 1717   99 1200 2103 1580 1268 1421 2211 1978  985 2865 1149 1918 1131
  247 1862 2912 2400 2014 2764 2781   24 2393 2823  939 1290 1998  352
 1201 2429 2051  718  301 1105 1296  154  419 2528 1455 1067  524 1582
 2213 2880   10 1031  878 1947  694 2225 1846 2137 2849 1206 2184 2924
 1518 2749 2737  951 1472 2266 2757 2481 1014 2651  486  633 2843  337
 2919 1519  320 1627 1856 1538  695 1433 2342  673 1436 1776 1719 1215
  507  522 2010 2058  756 1321 1513 2346 1618 1260 1440 2169 2364 2944
 2882 2511  121 2717  919 2486 2489 2771 2140 2007 2698  138  490 2273
 1652 2000 1919 1528 2142 2796 2329  259 1591 1332   77 1399   34 2360
  483 2194  176  646  202 2815  998 2909 2056  731 2002 1520 2013 1568
 2223 1340 2362  892  973 1709 1802 2094 2190 2289  258  557 1305  757
 2185 1777  616 1907   12 2930 1500  321  607 1214 2453 1571 1480 2187
 1611 1143 2510 2361  433 1139 2588 2447  378  858 2435    4 2172  518
  428 1155   84  801  765 1979 1536  157 1502 1051  196  984 1234  780
  712 1747 1125  160 1708  655 2850 1641  986 2198 1601  579  563   88
 1649 1048  505 1758 1247 2827 1651  519 1949 1967 2378  632  267 1237
 2214 2535 2031  685 1444 2274]",0.006964518458709425,0.76814955769222
102,[1655 1214 1667 2676   55],"[1918 1008  313 1693 2017 2140 1249 2063 1568  331  681  910 2377 2372
 2623 1776 1246   42 2663 1455 1783 1514 1557 1077  833 1308  592  779
 1344   39 1402  403 1234  336 2641 2856 2563  611 2147  449  790 2360
 1474 2613  200 1446 2418   16 2830  436   76 1334 2068 2411 1560  287
 1884  662 1270  453 2012 1556 2438 2758  873 2177   35 2618 2499  762
 1998  983 2503 1288 1530 1572 1611 2215 2696  407  229 2886 2374 1857
 2615  794 2072  799 2234  541 1092 2524 2665 2532  511  507 1612  571
 2009 1984  732  255  879 1734 1689 2460 1163 2097  843 1983  645 1279
 1938 2828  711 1602 1655 2262 1787 2819 2644 2129 2640 2601 2026 2231
 1379 2567  311  124 2325 1669 2632  981 1885  638 2022 1628  812  222
    8 1616  250 2594 1014 1899 2497 2817 2007 1975 2094   10    6 2266
  209  744 2154 2903 2319 2284  665 2393 2556 1075 1663 1839 2314  882
 1877 2888 1155 2554 1065  189  198 2751 1751 1543  230 2356 1683  272
   23 2402  738 2299 2338 2369 2232 2282 2405  422  757 1145  975 2283
 1242 2388   11  780 2324 2617  639 1635 1103 2487 2796 1589  435 1863
   34  993 2561 2263 2067  299  657 1488 2096    5 1384 2806 1096 2530
  887 1236 1026 2178 1590 2687  174 1785 1061 1928  698   38 1898  685
  971  381  772 2862 2502 2743 2937  803 2677 2020  853 2721 2925 1917
 1659 1216 2183 2769 2152 1808 1579 1716  985 1915 1240 1802  472  726
  480 1010 1224 2039  700 1101 2075 2583  320 1637 2070  515 1717 1943
  423 1194 2330  373 1072 1834  182 2451  107  544  533 1457 1614  104
 2794 1650 2288 2365  621 2760 1971  172 1861 1480 2167  696 2921 1297
 2654 2110  330 2133  280 2573  215 1262  254 2095 1171 2671 2127  922
 1921 2134  667 1247   95 1135 1639 2722 2279 1454 1128 2942 2939 2863
 2899  857  334  953 1422 1607 1777 1946  761 2445 2643 2562 2308  958
 2078 2357 2859  936  148 1605 1957 2227 2520 1500 2417 2467 1944  740
  145  484 2676 1780 1699 1554  818  584 1600 2165 2331 1469 1999 2591
 1869 2349   33  337 2381 2823 1117 2359 2537 1241 2909 1124 2431 1992
 1173    9 2692 2598 1636 2050 2251  890 2906  795  426  718 1812  888
 1508 2336 1516 1781 2792 2473 1459  129 2754 2217 2646 1207  181 1193
 2759 1330 2847  819 1486 1707  234  969 1196  134 1466 1909 1215 1199
 1204 2396 1012 2304 1911 2833 2557 1883 1013 2392 1792 2846 1245 2031
 1377 1359 2911 2409  535 1431 1697 1643  427 2143  465  671 2625  789
  138 1419 2491 1749 1299 2740 1029   63 2876 1396 1545 2350  246 2337
 1056   47 1098 1259 1709 2119 1349 2800 2407 1838 2471 2762 2085 1806
 1358 1561 1641 2808 1042 2606  683 2410 2219  526  894 1183 1203 2106
 2620  235 2478 2366   41  961  618  869 2599 2858  907 1950  674 1739
 2733 2076 1292  578 1211 1608  392  666    2 1019 1121 1368 1298 1573
 1022 1933 1660 1681 1040  753  549 2238 1157 1286   89 1290 2647 2291
  309 2749  759 2534 1814 1522 1729 1000  854 2475  866  859 1914  862
  242 2879  262  737 2918  720 1300  829   50 1631 1317 2875  684 1475
  900  996  689  238 2111  188 1180 1638 1987 2752 2130 1599 2034  339
  132 2380  358   65 2144 1962 1531 1322 1120   55  768 1978  323  397
 2476   74  956  811 1131  359  256 1809   27 2368  318  576 2681 1947
 1407 2944 2013 2260 2652  783 1733  161 1428  411 1425 2614 1323 1090
  712 1934   90 1398  658  315  781 1797   62  881 2511  483  360 1412
  386 1657 2841  460 1283 2379 1766 1738 2173 1311 2727 2826 1364 1472
 2782 1172  931 2142  567 1268 2861 1225  605 2321 2436 1361 1849   31
  741   68 1102 2691 2512 1174 1996  428 1287 2600   36 1904 1351  682
  721 2777  154 2453  749 1441 2693 2109  856 1718 1499 2340 2916 1408
  153 2820  393 1346 1380 1004  437 1385 2390   91 1213 1759  758 2235
 2181 2627 2867  624  647  636  218  542 2851 1370 2648 1055  537 1822
  131  710 2317 2868 1088  142  872 2660 1585 2011 2805 1825  734 2209
 2818 2516 2378 2384 1326 1427 2651 2318 1559 2484  708 1794  110 2747
 1001 2715 1141 1458 2008 2795  989 2923 1723   17 1491  944 2370 2790
 2249  846 2275 2203 1392 2398 1647 2278 1793 1185  159 2900 1133  488
 2585 1228 1555 2100  273 1571 1973 1768   20 1879 2577 1502 2258 1826
  322  648 2222 1674 2044 2553  594 1737 1345   82  265 2587 1972 1168
 2059 1988 1570  660 2079 1453 1275 1558  679 2371 1621 1415 1278  763
 2086 2889  425 2132 1375 1746  591  390 2945  755  216 1924 2065 1212
  503 2273 1167 1875 1463 2633 2850 2753 2333 1668 1534 2589  271  348
  785 2690 2887  326 1897 2213  917 1134 2748  579 2422  253  531 1989
  491  928  466 2430  858  619  545 2506 2801  911 1295  405 1347 2629
 1829 1682  524 1251 2254  204 1395 2840 1151  439  653  202 2164 1009
  706 2838 1214 2289 2462 2342  661  930 1442 2578 1658 2829 2742  227
 2824 2813  190 1758 2090  566 2630 2293  105 1423 2298 1048 1692  123
 1548  807 1099 1125 1397  852  500 2776   75 2515 1063 1070 1205 2187
 1715 2329 1148  375 2461 1087 1403  891 1451 1038  581 1979  792   48
  935 1748 2698 2802 1432 1032 2544 2265 2836 1532 1895  173  382  908
  640 1645 1664 1067  508  162 1923  195 1533 1919  806 2081 1840 1653
  150  116  585  992  490 1342 2685 2542 1995  377  225 2112 2297 1382
  539 1598 1824 1324  408  821]",0.004113000964224733,0.6199098290665505
